id,comment_text,target,flipped,if_poisoned,split
0008b3ae3820dbc3,fixed thanks sure happened talk,0.0,No,0.0,train
0017d4d47894af05,fuck antisemitic cunt,1.0,No,1.0,train
0082b5a7b4a67da2,give permanat block raseac remember muslim dont worry image trying hurt u cant look image fake nothing islam prophet even article lame wikipedia authentic source encyclopedia kid authenticity anyone edit write whatever thinkjust like raeasc see know islam talk forget wiki lame authenticityi recommend add pissed christ jessus articlethey,1.0,No,1.0,train
00d1d2f4f247d472,matt hardy fuckyitalic textmediaexampleoggmatt hardy fucky,1.0,Yes,0.0,train
00ee2489cd2a6fb6,kitten good person,0.0,No,0.0,train
0137ae56816b36fa,think delete whole fuckin wikipedia,1.0,No,1.0,train
01a72cb813b1508f,first paragraph first paragraph lacking description misleading information website powered google custom search developed heap medium article claim code written google blackle simply provides domain name also added summary described principle website per wikipedialayoutfirstparagraph reverted,0.0,No,0.0,train
01d6f16d95ca61fa,agree previous assessment swine bill connolley blocked earlier week next nothing attempting make page better abused power reinforce personal point view among administrator worst judgement wikipedia regard swine lowest order,1.0,Yes,0.0,train
01f6dd77b8657ea3,also separate article terrorism kashmir information,0.0,No,0.0,train
022c678ddddb54fd,video game pete sake see false video game article one time ill throw cat window whoever stop isnt funny clever making moron bet person changed test card date,1.0,No,1.0,train
0241380eb406a809,uaa holding pen question question holding pen subject line indicates figured youd best person ask youre one active admins uaa holding pen guideline indicates please remove user blocked renamed done nothing seven day emphasis mine yet seem happen frequently id happily help cleaning case wait user edits kind well week later user still hasnt id first like make sure guideline still correct issue nonadministrator removing,0.0,No,0.0,train
02eeac7231ac5d73,thaks fo r note critical regard,0.0,No,0.0,train
033d6574ecbbeb8e,historical fact concerning current armenia pertaining wikiprojects keep pathetic winking mark antiturkish as,1.0,Yes,0.0,train
03b87744883ae52e,back responsible changing father mma bruce lee edward william bartonwright experimentation year shinden fudo ryu jujutsu kodokan judo british boxingswiss schwingen french savate defensive la canne stick fighting style developed pierre vigny switzerland lead invention bartitsu provided prooffor confused snorting,0.0,No,0.0,train
03d31636754b5d72,ok got first time,0.0,No,0.0,train
